iter	Passed	Remaining
0	149	148908
1	152	76179
2	156	52169
3	160	40081
4	164	32765
5	168	27979
6	172	24413
7	176	21841
8	180	19870
9	184	18248
10	188	16903
11	190	15658
12	192	14603
13	195	13753
14	196	12936
15	198	12217
16	200	11594
17	202	11023
18	203	10506
19	204	10038
20	206	9615
21	208	9250
22	209	8913
23	211	8601
24	213	8314
25	216	8109
26	218	7858
27	222	7708
28	226	7592
29	231	7484
30	234	7314
31	236	7163
32	245	7204
33	249	7086
34	253	6979
35	258	6911
36	262	6819
37	264	6702
38	267	6583
39	269	6462
40	273	6394
41	275	6288
42	277	6177
43	279	6083
44	281	5982
45	284	5900
46	290	5882
47	292	5805
48	295	5744
49	298	5676
50	302	5625
51	305	5564
52	309	5534
53	312	5470
54	314	5410
55	325	5483
56	330	5460
57	347	5642
58	353	5634
59	355	5570
60	358	5513
61	361	5464
62	363	5403
63	365	5348
64	370	5323
65	372	5271
66	374	5219
67	376	5158
68	378	5103
69	380	5050
70	383	5022
71	386	4977
72	388	4939
73	391	4898
74	393	4858
75	400	4868
76	403	4830
77	404	4786
78	407	4745
79	408	4703
80	411	4668
81	413	4631
82	415	4589
83	418	4561
84	419	4514
85	421	4475
86	422	4429
87	423	4391
88	425	4357
89	428	4327
90	430	4296
91	432	4271
92	434	4237
93	436	4206
94	438	4174
95	439	4143
96	442	4117
97	443	4084
98	446	4061
99	448	4033
100	451	4017
101	453	3993
102	455	3966
103	458	3947
104	459	3920
105	461	3892
106	463	3865
107	464	3837
108	466	3817
109	468	3792
110	470	3766
111	472	3743
112	474	3724
113	475	3699
114	477	3674
115	479	3653
116	481	3633
117	484	3618
118	485	3594
119	487	3578
120	489	3556
121	491	3536
122	492	3509
123	494	3492
124	496	3476
125	498	3459
126	500	3440
127	501	3417
128	504	3408
129	508	3401
130	510	3388
131	513	3377
132	515	3359
133	516	3340
134	518	3321
135	520	3304
136	521	3286
137	523	3267
138	524	3251
139	526	3234
140	528	3219
141	529	3202
142	531	3184
143	533	3170
144	534	3153
145	536	3136
146	537	3119
147	539	3103
148	540	3087
149	541	3071
150	543	3055
151	544	3038
152	546	3022
153	547	3009
154	549	2997
155	551	2981
156	552	2967
157	553	2952
158	555	2937
159	556	2922
160	558	2908
161	559	2894
162	560	2880
163	562	2868
164	564	2855
165	565	2841
166	567	2829
167	568	2815
168	569	2802
169	571	2789
170	572	2776
171	573	2763
172	575	2750
173	577	2739
174	578	2727
175	579	2715
176	581	2702
177	582	2690
178	583	2678
179	585	2666
180	586	2651
181	587	2639
182	588	2628
183	590	2617
184	591	2606
185	592	2595
186	594	2584
187	595	2573
188	597	2563
189	598	2552
190	600	2541
191	601	2530
192	602	2520
193	604	2509
194	605	2500
195	607	2490
196	609	2483
197	610	2474
198	612	2464
199	613	2454
200	615	2444
201	616	2434
202	617	2425
203	619	2415
204	620	2406
205	622	2397
206	623	2388
207	624	2379
208	626	2370
209	627	2361
210	629	2352
211	630	2343
212	631	2334
213	633	2325
214	634	2316
215	636	2308
216	637	2300
217	638	2291
218	640	2283
219	641	2274
220	642	2266
221	644	2257
222	645	2249
223	647	2241
224	648	2233
225	650	2226
226	651	2218
227	652	2210
228	654	2202
229	655	2194
230	656	2186
231	658	2178
232	659	2171
233	660	2163
234	662	2156
235	663	2148
236	665	2141
237	666	2134
238	667	2126
239	669	2119
240	670	2111
241	671	2104
242	673	2097
243	674	2090
244	675	2082
245	677	2075
246	678	2069
247	680	2062
248	681	2055
249	682	2048
250	684	2041
251	685	2034
252	686	2028
253	688	2021
254	689	2014
255	690	2007
256	692	2001
257	693	1995
258	695	1989
259	696	1982
260	697	1976
261	699	1969
262	700	1963
263	702	1957
264	703	1950
265	704	1944
266	706	1938
267	707	1932
268	708	1926
269	710	1920
270	711	1914
271	712	1908
272	714	1902
273	715	1896
274	717	1890
275	718	1884
276	719	1878
277	721	1874
278	723	1870
279	725	1865
280	727	1861
281	728	1855
282	730	1849
283	731	1844
284	732	1838
285	734	1832
286	735	1827
287	737	1822
288	738	1816
289	739	1811
290	741	1805
291	742	1800
292	743	1795
293	745	1789
294	746	1784
295	747	1778
296	749	1773
297	750	1768
298	752	1763
299	753	1758
300	754	1752
301	756	1747
302	757	1742
303	758	1737
304	760	1732
305	761	1727
306	763	1722
307	764	1717
308	765	1712
309	767	1707
310	768	1702
311	769	1697
312	771	1692
313	772	1687
314	773	1682
315	775	1678
316	776	1673
317	778	1670
318	780	1666
319	782	1661
320	783	1657
321	785	1654
322	787	1650
323	789	1647
324	790	1642
325	793	1639
326	794	1635
327	795	1630
328	797	1626
329	798	1621
330	800	1617
331	801	1613
332	803	1608
333	804	1604
334	805	1599
335	807	1595
336	808	1590
337	810	1586
338	811	1582
339	812	1577
340	814	1573
341	815	1569
342	817	1564
343	818	1560
344	819	1556
345	821	1552
346	822	1547
347	823	1543
348	825	1539
349	826	1535
350	827	1530
351	829	1526
352	830	1522
353	832	1518
354	833	1514
355	834	1510
356	836	1506
357	837	1501
358	838	1497
359	840	1493
360	841	1489
361	842	1485
362	844	1481
363	845	1477
364	847	1473
365	848	1469
366	850	1466
367	851	1462
368	853	1458
369	854	1454
370	855	1451
371	857	1447
372	858	1443
373	860	1439
374	861	1435
375	862	1431
376	864	1428
377	865	1424
378	866	1420
379	868	1416
380	869	1412
381	870	1408
382	872	1404
383	873	1401
384	874	1397
385	876	1393
386	877	1390
387	879	1386
388	880	1383
389	882	1379
390	883	1375
391	884	1372
392	886	1368
393	887	1364
394	888	1361
395	890	1357
396	891	1354
397	893	1350
398	894	1347
399	895	1343
400	897	1340
401	898	1336
402	899	1332
403	901	1329
404	902	1325
405	903	1322
406	905	1319
407	906	1315
408	908	1312
409	909	1308
410	910	1305
411	912	1301
412	913	1298
413	915	1295
414	916	1292
415	918	1288
416	919	1285
417	920	1282
418	922	1278
419	923	1275
420	924	1272
421	926	1268
422	927	1265
423	929	1262
424	930	1258
425	932	1256
426	933	1252
427	934	1249
428	936	1246
429	937	1243
430	939	1239
431	940	1236
432	941	1233
433	943	1230
434	944	1226
435	945	1223
436	947	1220
437	948	1217
438	949	1213
439	951	1210
440	952	1207
441	954	1204
442	955	1201
443	956	1198
444	958	1194
445	959	1191
446	961	1188
447	962	1185
448	963	1182
449	965	1179
450	966	1176
451	967	1173
452	969	1170
453	970	1167
454	972	1164
455	973	1161
456	974	1158
457	976	1155
458	977	1152
459	978	1149
460	980	1146
461	981	1143
462	982	1140
463	984	1137
464	985	1134
465	987	1131
466	988	1128
467	990	1125
468	991	1122
469	993	1120
470	994	1117
471	996	1114
472	997	1111
473	999	1108
474	1000	1105
475	1001	1102
476	1003	1100
477	1004	1097
478	1005	1094
479	1007	1091
480	1008	1088
481	1009	1085
482	1011	1082
483	1012	1079
484	1013	1076
485	1015	1073
486	1016	1071
487	1018	1068
488	1019	1065
489	1021	1062
490	1022	1059
491	1023	1056
492	1025	1054
493	1026	1051
494	1027	1048
495	1029	1045
496	1030	1043
497	1031	1040
498	1033	1037
499	1034	1034
500	1036	1031
501	1037	1029
502	1038	1026
503	1040	1023
504	1041	1021
505	1043	1018
506	1044	1015
507	1046	1013
508	1047	1010
509	1048	1007
510	1050	1005
511	1051	1002
512	1053	999
513	1054	997
514	1055	994
515	1057	991
516	1058	989
517	1060	986
518	1061	983
519	1063	981
520	1064	978
521	1065	976
522	1067	973
523	1068	970
524	1070	968
525	1071	965
526	1072	963
527	1074	960
528	1075	957
529	1077	955
530	1078	952
531	1079	949
532	1081	947
533	1082	944
534	1084	942
535	1085	939
536	1086	937
537	1088	934
538	1090	932
539	1092	930
540	1093	928
541	1095	925
542	1096	922
543	1097	920
544	1099	917
545	1100	915
546	1102	912
547	1103	910
548	1104	907
549	1106	905
550	1107	902
551	1109	900
552	1110	897
553	1111	895
554	1113	892
555	1114	890
556	1116	887
557	1117	885
558	1118	882
559	1120	880
560	1121	877
561	1122	875
562	1124	872
563	1125	870
564	1127	867
565	1128	865
566	1129	862
567	1131	860
568	1132	857
569	1133	855
570	1135	852
571	1136	850
572	1138	848
573	1139	845
574	1140	843
575	1142	840
576	1143	838
577	1145	836
578	1146	833
579	1147	831
580	1149	828
581	1150	826
582	1151	823
583	1153	821
584	1154	819
585	1156	816
586	1157	814
587	1159	812
588	1160	809
589	1161	807
590	1163	804
591	1164	802
592	1165	800
593	1167	797
594	1168	795
595	1170	793
596	1171	790
597	1173	788
598	1174	786
599	1175	783
600	1177	781
601	1178	779
602	1180	776
603	1181	774
604	1182	772
605	1184	769
606	1185	767
607	1186	765
608	1188	762
609	1189	760
610	1191	758
611	1192	755
612	1193	753
613	1195	751
614	1196	748
615	1197	746
616	1199	744
617	1200	742
618	1202	739
619	1203	737
620	1204	735
621	1206	733
622	1207	730
623	1208	728
624	1210	726
625	1211	723
626	1212	721
627	1213	719
628	1215	716
629	1217	714
630	1218	712
631	1220	710
632	1221	708
633	1222	706
634	1224	703
635	1225	701
636	1227	699
637	1228	697
638	1229	694
639	1231	692
640	1232	690
641	1234	688
642	1235	685
643	1236	683
644	1238	681
645	1239	679
646	1240	677
647	1242	674
648	1243	672
649	1245	670
650	1246	668
651	1247	666
652	1249	663
653	1250	661
654	1252	659
655	1253	657
656	1254	655
