iter	Passed	Remaining
0	124	124710
1	128	64038
2	130	43263
3	131	32867
4	133	26631
5	135	22523
6	137	19541
7	139	17294
8	141	15570
9	144	14266
10	145	13110
11	147	12147
12	149	11367
13	152	10745
14	154	10157
15	156	9611
16	159	9239
17	161	8816
18	163	8438
19	166	8164
20	168	7850
21	170	7566
22	172	7323
23	175	7128
24	177	6924
25	179	6728
26	181	6556
27	183	6383
28	185	6217
29	188	6105
30	190	5958
31	193	5854
32	196	5754
33	198	5652
34	201	5547
35	206	5531
36	208	5431
37	211	5347
38	213	5254
39	215	5165
40	217	5098
41	220	5032
42	222	4952
43	224	4874
44	226	4798
45	228	4733
46	229	4663
47	231	4599
48	234	4551
49	236	4491
50	238	4432
51	240	4376
52	241	4321
53	243	4268
54	245	4215
55	247	4167
56	249	4131
57	251	4086
58	253	4040
59	255	3996
60	256	3953
61	258	3913
62	260	3874
63	265	3879
64	267	3850
65	269	3817
66	272	3798
67	275	3781
68	278	3753
69	280	3723
70	281	3689
71	283	3654
72	285	3623
73	287	3593
74	289	3569
75	291	3547
76	293	3520
77	295	3491
78	297	3464
79	298	3437
80	300	3411
81	302	3388
82	304	3364
83	306	3345
84	308	3321
85	310	3298
86	312	3276
87	314	3258
88	316	3236
89	318	3216
90	320	3200
91	322	3181
92	324	3159
93	325	3141
94	327	3122
95	329	3103
96	331	3085
97	334	3077
98	336	3059
99	337	3041
100	339	3023
101	341	3007
102	343	2991
103	345	2974
104	347	2959
105	349	2946
106	351	2936
107	354	2928
108	356	2916
109	359	2907
110	362	2906
111	365	2894
112	367	2883
113	369	2871
114	371	2859
115	373	2848
116	375	2832
117	382	2858
118	385	2850
119	388	2849
120	390	2838
121	395	2843
122	397	2833
123	399	2824
124	401	2810
125	403	2797
126	404	2782
127	406	2770
128	410	2774
129	413	2764
130	415	2754
131	417	2742
132	418	2730
133	420	2718
134	422	2706
135	425	2702
136	427	2692
137	430	2686
138	432	2676
139	433	2665
140	435	2655
141	437	2640
142	441	2647
143	443	2639
144	446	2630
145	448	2621
146	450	2613
147	452	2604
148	456	2607
149	459	2601
150	461	2594
151	463	2585
152	465	2576
153	467	2567
154	472	2576
155	474	2569
156	477	2564
157	479	2555
158	481	2546
159	487	2561
160	489	2550
161	491	2541
162	493	2532
163	495	2523
164	496	2514
165	499	2511
166	502	2504
167	503	2495
168	505	2487
169	507	2478
170	509	2469
171	511	2461
172	513	2453
173	516	2451
174	518	2442
175	519	2434
176	521	2426
177	523	2417
178	525	2410
179	527	2403
180	531	2403
181	532	2395
182	534	2387
183	536	2380
184	538	2373
185	540	2365
186	542	2358
187	546	2361
188	549	2356
189	551	2350
190	554	2349
191	556	2342
192	558	2334
193	561	2332
194	563	2326
195	565	2319
196	567	2312
197	569	2305
198	571	2299
199	573	2292
200	575	2288
201	577	2282
202	579	2275
203	581	2268
204	582	2260
205	584	2253
206	587	2248
207	588	2242
208	592	2241
209	594	2234
210	595	2228
211	597	2221
212	599	2215
213	601	2209
214	603	2204
215	606	2202
216	608	2195
217	610	2189
218	612	2183
219	614	2177
220	616	2171
221	617	2165
222	621	2166
223	623	2159
224	625	2153
225	627	2149
226	629	2143
227	631	2138
228	633	2133
229	637	2135
230	640	2131
231	642	2125
232	645	2126
233	647	2120
234	649	2114
235	652	2113
236	654	2108
237	656	2102
238	658	2096
239	660	2090
240	662	2085
241	664	2079
242	667	2079
243	669	2074
244	671	2068
245	673	2064
246	675	2059
247	677	2053
248	678	2047
249	682	2047
250	684	2042
251	686	2037
252	688	2031
253	690	2026
254	692	2024
255	694	2018
256	698	2019
257	700	2014
258	702	2008
259	703	2003
260	705	1997
261	707	1992
262	708	1986
263	710	1982
264	713	1979
265	715	1973
266	717	1968
267	718	1963
268	721	1960
269	723	1955
270	725	1950
271	728	1949
272	730	1944
273	732	1939
274	733	1934
275	735	1929
276	737	1924
277	739	1920
278	743	1921
279	745	1918
280	748	1914
281	750	1912
282	752	1907
283	754	1903
284	759	1905
285	761	1900
286	762	1895
287	764	1890
288	768	1890
289	770	1886
290	774	1886
291	776	1881
292	777	1877
293	779	1872
294	781	1867
295	783	1863
296	785	1859
297	789	1860
298	791	1856
299	793	1852
300	795	1847
301	797	1843
302	799	1839
303	801	1834
304	804	1833
305	806	1828
306	808	1824
307	810	1820
308	812	1815
309	813	1811
310	815	1807
311	819	1807
312	821	1802
313	823	1798
314	825	1795
315	827	1791
316	829	1786
317	831	1782
318	835	1783
319	838	1780
320	840	1777
321	843	1776
322	845	1771
323	847	1767
324	849	1763
325	850	1759
326	853	1756
327	855	1752
328	857	1748
329	859	1744
330	862	1742
331	863	1738
332	865	1734
333	867	1730
334	869	1726
335	871	1722
336	873	1717
337	875	1714
338	878	1712
339	879	1708
340	881	1703
341	884	1702
342	886	1698
343	888	1694
344	892	1694
345	894	1690
346	896	1686
347	898	1682
348	899	1678
349	901	1674
350	903	1670
351	906	1669
352	908	1665
353	910	1660
354	911	1656
355	913	1652
356	915	1648
357	917	1644
358	919	1641
359	922	1640
360	924	1637
361	927	1634
362	930	1633
363	932	1629
364	934	1626
365	938	1626
366	940	1622
367	942	1618
368	944	1615
369	946	1611
370	948	1607
371	950	1603
372	956	1607
373	958	1603
374	959	1599
375	961	1596
376	963	1592
377	965	1588
378	968	1586
379	970	1583
380	972	1579
381	974	1576
382	976	1572
383	978	1568
384	979	1565
385	986	1568
386	988	1565
387	990	1561
388	991	1558
389	993	1554
390	995	1550
391	998	1549
392	1000	1545
393	1002	1542
394	1004	1538
395	1006	1534
396	1008	1531
397	1009	1527
398	1013	1526
399	1015	1522
400	1016	1519
401	1018	1515
402	1020	1512
403	1022	1508
404	1024	1504
405	1025	1500
406	1028	1499
407	1031	1496
408	1033	1493
409	1036	1492
410	1038	1488
411	1040	1485
412	1045	1485
413	1047	1482
414	1049	1479
415	1051	1475
416	1052	1472
417	1055	1469
418	1061	1471
419	1063	1468
420	1069	1470
421	1072	1468
422	1092	1489
423	1094	1486
424	1097	1484
425	1101	1484
426	1104	1481
427	1109	1482
428	1113	1481
429	1116	1479
430	1119	1477
431	1122	1476
432	1125	1473
433	1127	1470
434	1129	1467
435	1133	1466
436	1136	1463
437	1138	1461
438	1140	1458
439	1143	1454
440	1145	1452
441	1150	1452
442	1152	1449
443	1155	1446
444	1157	1443
445	1159	1440
446	1161	1437
447	1167	1438
448	1169	1435
449	1172	1432
450	1174	1429
451	1176	1426
452	1181	1426
453	1183	1423
454	1186	1420
455	1189	1418
456	1191	1415
457	1195	1415
458	1198	1412
459	1200	1409
460	1202	1406
461	1204	1402
462	1212	1406
463	1215	1403
464	1217	1400
465	1219	1398
466	1222	1394
467	1225	1392
468	1228	1390
469	1230	1387
470	1232	1384
471	1235	1381
472	1237	1378
473	1242	1378
474	1244	1375
475	1255	1382
476	1258	1379
477	1260	1376
478	1263	1374
479	1266	1371
480	1268	1369
481	1273	1368
482	1275	1365
483	1278	1362
484	1280	1360
485	1283	1357
486	1290	1359
487	1293	1356
488	1296	1355
489	1299	1352
490	1301	1349
491	1304	1347
492	1310	1347
493	1312	1344
494	1318	1345
495	1320	1342
496	1322	1338
497	1325	1336
498	1334	1340
499	1337	1337
500	1339	1333
501	1341	1330
502	1343	1327
503	1347	1326
504	1350	1323
505	1359	1326
506	1364	1326
507	1367	1324
508	1370	1322
509	1373	1319
510	1375	1316
511	1386	1321
512	1388	1318
513	1390	1315
514	1395	1314
515	1398	1311
516	1400	1308
517	1403	1305
518	1405	1302
519	1407	1299
520	1410	1296
